51221   2,668
51210   6,239
51159   7,718
51150   10,05
51142   19,668
51135   114,898
51124   116,385
51116   117,9
51111   119,422
51105   122,29
51099   123,641
51095   124,998
51054   127,565
51048   128,835
51045   130,068
51044   583,607
51037   686,788
51035   688,532
51030   690,183
51029   691,673
51028   693,136
51024   695,961
51020   697,387
51017   698,776
51015   700,317
51014   701,889
51007   704,917
51001   706,22
50995   707,559
50990   708,853
50986   710,072
