9263   1,786
9244   41,402
9243   52,254
9237   82,04
9236   84,459
9234   194,238
9233   195,934
9232   857,774
9230   1011,032
9226   1013,51
9223   1016,113
9221   1018,623
9220   1023,638
9219   1026,017
9218   1028,411
9208   1032,948
9207   1035,128
9206   1037,447
9205   1039,545
9204   1043,734
9203   1045,783
9202   1047,719
9201   1049,536
9199   1184,108
9196   1186,48
9195   1189,024
9194   1191,262
9192   1195,781
9191   1197,962
9190   1200,063
9189   1206,127
9188   1208,079
9187   1209,989
9186   1211,91
